2.34445,48.86,Paris
5.37639,43.2967,Marseille
4.84139,45.7589,Lyon
1.43333,43.6,Toulouse
7.25,43.7,Nice
-1.55,47.2167,Nantes
7.75,48.5833,Strasbourg
3.88333,43.6,Montpellier
-0.566667,44.8333,Bordeaux
3.06667,50.6333,Lille
-1.68333,48.0833,Rennes
4.03333,49.25,Reims
0.133333,49.5,Le Havre
4.4,45.4333,Saint-Étienne
5.93333,43.1167,Toulon
5.71667,45.1667,Grenoble
5.01667,47.3167,Dijon
-0.55,47.4667,Angers
46.7107,1.71819,Saint-Denis
0.2,48,Le Mans
5.43333,43.5333,Aix-en-Provence
-4.48333,48.4,Brest
4.88333,45.7667,Villeurbanne
4.35,43.8333,Nîmes
1.25,45.85,Limoges
3.08333,45.7833,Clermont-Ferrand
0.683333,47.3833,Tours
2.3,49.9,Amiens
6.16667,49.1333,Metz
6.03333,47.25,Besançon
2.88333,42.6833,Perpignan
1.9,47.9167,Orléans
2.25,48.8333,Boulogne-Billancourt
7.33333,47.75,Mulhouse
-0.35,49.1833,Caen
1.08333,49.4333,Rouen
6.2,48.6833,Nancy
2.35833,48.9333,Saint-Denis
-21.0033,55.2833,Saint-Paul
2.25,48.95,Argenteuil
2.43333,48.8667,Montreuil
3.16667,50.7,Roubaix
2.36667,51.05,Dunkerque
3.15,50.7167,Tourcoing
4.81667,43.95,Avignon
2.2,48.9,Nanterre
0.333333,46.5833,Poitiers
2.46667,48.7833,Créteil
14.627,-61.0732,Fort-de-France
2.13333,48.8,Versailles
2.25222,48.8973,Courbevoie
2.4,48.7833,Vitry-sur-Seine
-0.366667,43.3,Pau
2.25,48.9167,Colombes
2.51667,48.95,Aulnay-sous-Bois
2.28556,48.9112,Asnières-sur-Seine
43.6566,6.87387,Saint-Pierre
2.2,48.8833,Rueil-Malmaison
7.11667,43.5833,Antibes
-1.15,46.1667,La Rochelle
2.5,48.8,Saint-Maur-des-Fossés
2.51667,48.8167,Champigny-sur-Marne
1.83333,50.95,Calais
2.38333,48.9167,Aubervilliers
-21.2815,55.518,Tampon
7.01667,43.55,Cannes
3.25,43.35,Béziers
2.4,47.0833,Bourges
-2.2,47.2833,Saint-Nazaire
7.36667,48.0833,Colmar
2.45,48.9333,Drancy
-0.633333,44.8333,Mérignac
8.7364,41.9256,Ajaccio
4.9,44.9333,Valence
-4.1,48,Quimper
2.26667,48.8167,Issy-les-Moulineaux
2.56667,48.85,Noisy-le-Grand
2.28333,48.9,Levallois-Perret
3.14167,50.6833,Villeneuve-d'Ascq
4.08333,48.3,Troyes
2.3,48.75,Antony
2.26667,48.8833,Neuilly-sur-Seine
5.88333,43.1,La Seyne-sur-Mer
2.38333,49,Sarcelles
16.3065,-61.5106,Abymes
2.3,48.9,Clichy
-3.36667,47.75,Lorient
-0.466667,46.3167,Niort
-0.616667,44.8,Pessac
4.88333,45.6833,Vénissieux
45.2317,-12.7814,Mamoudzou
3.28333,49.85,Saint-Quentin
5.93333,45.5667,Chambéry
2.38333,48.8167,Ivry-sur-Seine
2.06667,49.0333,Cergy
1.35,44.0167,Montauban
4.92215,-52.3054,Cayenne
6.11667,43.1167,Hyères
2.08333,49.4333,Beauvais
-0.883333,47.0667,Cholet
-20.9599,55.6539,Saint-André
2.46667,48.9,Bondy
2.36667,48.8,Villejuif
-2.75,47.6667,Vannes
2.43333,48.8,Maisons-Alfort
2.6,48.8833,Chelles
2.48333,48.85,Fontenay-sous-Bois
4.63333,43.6667,Arles
6.73611,43.4339,Fréjus
2.4,48.9,Pantin
2.30833,48.95,Épinay-sur-Seine
2.45,48.6333,Évry
0,0,Saint-Louis
-1.43333,46.6667,La Roche-sur-Yon
6.91667,43.6667,Grasse
2.18333,48.95,Sartrouville
2.26667,48.8,Clamart
3,43.1833,Narbonne
4.71667,49.7667,Charleville-Mézières
-0.766667,48.0667,Laval
1.15,49.0167,Évreux
2.53333,48.9333,Sevran
2.45,48.9333,Le Blanc-Mesnil
6.86667,47.6333,Belfort
6.11667,45.9,Annecy
1.53333,45.15,Brive-la-Gaillarde
7.15,43.6667,Cagnes-sur-Mer
2.15,43.9333,Albi
2.86667,48.95,Meaux
-2.01667,48.65,Saint-Malo
2.43333,48.85,Vincennes
